Algoritmo,Quantum,N_Processos,Rodada,TME
fifo,10,10,1,18120.100000
fifo,10,10,2,15376.100000
fifo,10,10,3,22668.500000
fifo,10,10,4,13893.200000
fifo,10,10,5,13860.300000
fifo,10,10,6,14546.700000
fifo,10,10,7,21571.700000
fifo,10,10,8,21442.800000
fifo,10,10,9,19984.900000
fifo,10,10,10,18511.600000
fifo,10,10,11,16844.600000
fifo,10,10,12,19341.100000
fifo,10,10,13,22755.300000
fifo,10,10,14,12930.800000
fifo,10,10,15,15170.200000
fifo,10,10,16,19308.200000
fifo,10,10,17,22115.500000
fifo,10,10,18,26003.300000
fifo,10,10,19,10938.100000
fifo,10,10,20,18869.100000
fifo,10,10,21,26002.200000
fifo,10,10,22,22656.400000
fifo,10,10,23,14483.300000
fifo,10,10,24,26770.200000
fifo,10,10,25,21728.400000
fifo,10,10,26,16602.600000
fifo,10,10,27,13350.500000
fifo,10,10,28,20028.000000
fifo,10,10,29,23894.800000
fifo,10,10,30,17600.400000
fifo,10,20,1,42146.550000
fifo,10,20,2,46567.050000
fifo,10,20,3,40549.750000
fifo,10,20,4,35698.600000
fifo,10,20,5,43833.550000
fifo,10,20,6,60718.700000
fifo,10,20,7,37863.250000
fifo,10,20,8,37324.950000
fifo,10,20,9,33136.000000
fifo,10,20,10,39949.750000
fifo,10,20,11,46534.750000
fifo,10,20,12,42306.500000
fifo,10,20,13,26072.700000
fifo,10,20,14,42633.250000
fifo,10,20,15,38220.200000
fifo,10,20,16,41904.700000
fifo,10,20,17,41988.100000
fifo,10,20,18,41744.400000
fifo,10,20,19,32305.200000
fifo,10,20,20,45563.700000
fifo,10,20,21,29156.500000
fifo,10,20,22,34863.550000
fifo,10,20,23,54248.150000
fifo,10,20,24,45761.200000
fifo,10,20,25,35442.050000
fifo,10,20,26,39895.050000
fifo,10,20,27,45130.850000
fifo,10,20,28,48186.150000
fifo,10,20,29,52740.900000
fifo,10,20,30,37464.400000
fifo,10,30,1,55362.433333
fifo,10,30,2,50008.033333
fifo,10,30,3,66770.700000
fifo,10,30,4,69641.600000
fifo,10,30,5,52123.100000
fifo,10,30,6,62239.066667
fifo,10,30,7,68858.566667
fifo,10,30,8,67088.933333
fifo,10,30,9,54511.766667
fifo,10,30,10,68265.466667
fifo,10,30,11,59562.266667
fifo,10,30,12,71889.533333
fifo,10,30,13,72537.300000
fifo,10,30,14,47340.000000
fifo,10,30,15,72195.366667
fifo,10,30,16,57398.466667
fifo,10,30,17,68939.233333
fifo,10,30,18,63743.733333
fifo,10,30,19,71731.700000
fifo,10,30,20,63311.333333
fifo,10,30,21,57231.666667
fifo,10,30,22,63808.866667
fifo,10,30,23,62308.800000
fifo,10,30,24,69747.900000
fifo,10,30,25,48752.766667
fifo,10,30,26,68898.766667
fifo,10,30,27,60666.533333
fifo,10,30,28,82132.666667
fifo,10,30,29,54675.500000
fifo,10,30,30,52815.233333
fifo,10,40,1,61991.050000
fifo,10,40,2,94644.775000
fifo,10,40,3,79175.425000
fifo,10,40,4,94847.650000
fifo,10,40,5,81549.600000
fifo,10,40,6,113940.875000
fifo,10,40,7,83171.500000
fifo,10,40,8,92936.025000
fifo,10,40,9,82181.950000
fifo,10,40,10,78285.800000
fifo,10,40,11,75711.800000
fifo,10,40,12,106793.075000
fifo,10,40,13,106868.475000
fifo,10,40,14,78333.900000
fifo,10,40,15,89505.150000
fifo,10,40,16,74654.175000
fifo,10,40,17,84211.475000
fifo,10,40,18,84525.300000
fifo,10,40,19,126386.775000
fifo,10,40,20,82603.825000
fifo,10,40,21,98166.000000
fifo,10,40,22,95410.600000
fifo,10,40,23,93706.200000
fifo,10,40,24,90484.175000
fifo,10,40,25,100369.950000
fifo,10,40,26,83496.850000
fifo,10,40,27,87427.725000
fifo,10,40,28,85474.575000
fifo,10,40,29,89316.325000
fifo,10,40,30,65342.700000
fifo,10,50,1,116018.020000
fifo,10,50,2,75770.140000
fifo,10,50,3,120902.000000
fifo,10,50,4,89929.420000
fifo,10,50,5,132840.720000
fifo,10,50,6,112655.640000
fifo,10,50,7,119467.420000
fifo,10,50,8,108749.420000
fifo,10,50,9,88311.760000
fifo,10,50,10,108944.860000
fifo,10,50,11,92216.280000
fifo,10,50,12,114045.200000
fifo,10,50,13,119273.740000
fifo,10,50,14,108319.500000
fifo,10,50,15,104148.680000
fifo,10,50,16,115911.140000
fifo,10,50,17,117185.940000
fifo,10,50,18,140849.680000
fifo,10,50,19,113077.740000
fifo,10,50,20,112249.300000
fifo,10,50,21,99746.900000
fifo,10,50,22,110904.040000
fifo,10,50,23,116832.880000
fifo,10,50,24,110126.880000
fifo,10,50,25,118771.140000
fifo,10,50,26,114835.980000
fifo,10,50,27,117475.860000
fifo,10,50,28,126966.520000
fifo,10,50,29,93733.980000
fifo,10,50,30,102786.560000
fifo,10,60,1,132398.900000
fifo,10,60,2,115350.866667
fifo,10,60,3,144148.516667
fifo,10,60,4,147645.500000
fifo,10,60,5,123009.816667
fifo,10,60,6,141487.566667
fifo,10,60,7,121499.666667
fifo,10,60,8,111545.183333
fifo,10,60,9,126496.833333
fifo,10,60,10,119724.416667
fifo,10,60,11,133413.700000
fifo,10,60,12,123416.083333
fifo,10,60,13,139654.950000
fifo,10,60,14,140123.800000
fifo,10,60,15,124957.883333
fifo,10,60,16,124637.316667
fifo,10,60,17,134537.150000
fifo,10,60,18,122689.616667
fifo,10,60,19,142145.183333
fifo,10,60,20,135343.166667
fifo,10,60,21,147413.116667
fifo,10,60,22,113207.433333
fifo,10,60,23,136119.450000
fifo,10,60,24,152069.450000
fifo,10,60,25,146336.433333
fifo,10,60,26,118833.033333
fifo,10,60,27,148546.716667
fifo,10,60,28,149037.033333
fifo,10,60,29,125695.883333
fifo,10,60,30,159917.066667
fifo,10,70,1,126758.300000
fifo,10,70,2,150893.800000
fifo,10,70,3,171354.328571
fifo,10,70,4,122571.285714
fifo,10,70,5,132395.200000
fifo,10,70,6,158636.957143
fifo,10,70,7,177332.557143
fifo,10,70,8,170096.771429
fifo,10,70,9,145873.185714
fifo,10,70,10,147392.900000
fifo,10,70,11,397266.714286
fifo,10,70,12,166361.071429
fifo,10,70,13,136601.128571
fifo,10,70,14,150512.814286
fifo,10,70,15,180386.400000
fifo,10,70,16,171116.328571
fifo,10,70,17,163014.100000
fifo,10,70,18,139531.914286
fifo,10,70,19,175989.371429
fifo,10,70,20,147230.671429
fifo,10,70,21,179412.842857
fifo,10,70,22,150039.657143
fifo,10,70,23,180330.628571
fifo,10,70,24,155055.814286
fifo,10,70,25,160345.371429
fifo,10,70,26,167086.185714
fifo,10,70,27,153168.071429
fifo,10,70,28,144236.028571
fifo,10,70,29,191648.128571
fifo,10,70,30,156238.557143
fifo,10,80,1,175884.125000
fifo,10,80,2,164042.750000
fifo,10,80,3,176863.287500
fifo,10,80,4,141411.387500
fifo,10,80,5,165108.325000
fifo,10,80,6,171543.275000
fifo,10,80,7,184507.712500
fifo,10,80,8,190827.000000
fifo,10,80,9,164030.700000
fifo,10,80,10,199178.500000
fifo,10,80,11,187418.462500
fifo,10,80,12,189097.725000
fifo,10,80,13,207522.475000
fifo,10,80,14,169465.062500
fifo,10,80,15,193167.225000
fifo,10,80,16,145351.900000
fifo,10,80,17,204924.837500
fifo,10,80,18,205860.225000
fifo,10,80,19,174042.175000
fifo,10,80,20,182032.200000
fifo,10,80,21,203068.100000
fifo,10,80,22,203507.662500
fifo,10,80,23,157846.625000
fifo,10,80,24,152743.400000
fifo,10,80,25,170761.050000
fifo,10,80,26,195713.600000
fifo,10,80,27,168395.337500
fifo,10,80,28,157177.275000
fifo,10,80,29,189875.575000
fifo,10,80,30,208120.325000
fifo,10,90,1,203818.288889
fifo,10,90,2,219162.111111
fifo,10,90,3,217290.844444
fifo,10,90,4,210370.200000
fifo,10,90,5,201861.111111
fifo,10,90,6,196909.566667
fifo,10,90,7,172055.344444
fifo,10,90,8,237304.111111
fifo,10,90,9,184113.355556
fifo,10,90,10,215881.177778
fifo,10,90,11,202852.944444
fifo,10,90,12,215089.911111
fifo,10,90,13,198971.566667
fifo,10,90,14,176117.722222
fifo,10,90,15,207379.377778
fifo,10,90,16,182901.055556
fifo,10,90,17,202339.811111
fifo,10,90,18,196462.011111
fifo,10,90,19,226409.644444
fifo,10,90,20,196336.233333
fifo,10,90,21,186102.700000
fifo,10,90,22,221198.933333
fifo,10,90,23,209219.344444
fifo,10,90,24,204252.111111
fifo,10,90,25,235549.522222
fifo,10,90,26,210638.833333
fifo,10,90,27,210451.411111
fifo,10,90,28,211635.722222
fifo,10,90,29,167348.844444
fifo,10,90,30,183261.544444
fifo,10,100,1,210123.490000
fifo,10,100,2,244509.080000
fifo,10,100,3,248532.450000
fifo,10,100,4,205538.080000
fifo,10,100,5,207101.620000
fifo,10,100,6,229036.690000
fifo,10,100,7,213604.910000
fifo,10,100,8,215226.000000
fifo,10,100,9,241398.950000
fifo,10,100,10,252172.690000
fifo,10,100,11,235653.680000
fifo,10,100,12,240836.400000
fifo,10,100,13,202624.950000
fifo,10,100,14,214637.850000
fifo,10,100,15,200733.190000
fifo,10,100,16,285492.640000
fifo,10,100,17,257554.380000
fifo,10,100,18,241539.420000
fifo,10,100,19,254644.260000
fifo,10,100,20,264465.870000
fifo,10,100,21,234608.560000
fifo,10,100,22,263526.440000
fifo,10,100,23,268290.630000
fifo,10,100,24,221031.240000
fifo,10,100,25,239516.200000
fifo,10,100,26,208294.120000
fifo,10,100,27,215932.900000
fifo,10,100,28,237705.470000
fifo,10,100,29,215752.130000
fifo,10,100,30,227895.600000
fifo,20,10,1,10712.100000
fifo,20,10,2,9227.800000
fifo,20,10,3,13143.700000
fifo,20,10,4,6072.600000
fifo,20,10,5,7100.300000
fifo,20,10,6,10434.800000
fifo,20,10,7,12999.400000
fifo,20,10,8,7246.800000
fifo,20,10,9,8856.400000
fifo,20,10,10,10390.500000
fifo,20,10,11,10834.700000
fifo,20,10,12,11521.200000
fifo,20,10,13,9261.600000
fifo,20,10,14,8429.300000
fifo,20,10,15,11551.200000
fifo,20,10,16,8316.900000
fifo,20,10,17,12635.000000
fifo,20,10,18,6424.200000
fifo,20,10,19,7513.800000
fifo,20,10,20,4953.000000
fifo,20,10,21,6165.100000
fifo,20,10,22,10480.200000
fifo,20,10,23,13276.700000
fifo,20,10,24,9824.200000
fifo,20,10,25,15462.600000
fifo,20,10,26,11185.300000
fifo,20,10,27,12132.400000
fifo,20,10,28,7492.500000
fifo,20,10,29,5760.000000
fifo,20,10,30,4407.500000
fifo,20,20,1,28889.050000
fifo,20,20,2,17451.250000
fifo,20,20,3,18092.000000
fifo,20,20,4,20848.350000
fifo,20,20,5,24787.300000
fifo,20,20,6,23572.150000
fifo,20,20,7,19124.600000
fifo,20,20,8,25778.700000
fifo,20,20,9,25718.350000
fifo,20,20,10,19543.450000
fifo,20,20,11,29917.100000
fifo,20,20,12,21996.950000
fifo,20,20,13,22433.700000
fifo,20,20,14,26091.650000
fifo,20,20,15,25691.950000
fifo,20,20,16,23102.500000
fifo,20,20,17,23415.900000
fifo,20,20,18,16444.100000
fifo,20,20,19,19887.200000
fifo,20,20,20,32230.800000
fifo,20,20,21,17085.050000
fifo,20,20,22,26098.600000
fifo,20,20,23,25148.500000
fifo,20,20,24,19260.300000
fifo,20,20,25,24764.700000
fifo,20,20,26,19862.850000
fifo,20,20,27,22744.950000
fifo,20,20,28,29889.650000
fifo,20,20,29,23198.450000
fifo,20,20,30,16617.700000
fifo,20,30,1,31865.566667
fifo,20,30,2,40901.400000
fifo,20,30,3,34377.666667
fifo,20,30,4,37886.600000
fifo,20,30,5,29023.766667
fifo,20,30,6,39644.700000
fifo,20,30,7,31255.700000
fifo,20,30,8,33377.666667
fifo,20,30,9,50120.866667
fifo,20,30,10,43345.966667
fifo,20,30,11,27908.033333
fifo,20,30,12,26344.600000
fifo,20,30,13,39101.966667
fifo,20,30,14,26149.600000
fifo,20,30,15,31152.933333
fifo,20,30,16,34095.100000
fifo,20,30,17,22196.800000
fifo,20,30,18,26068.666667
fifo,20,30,19,35699.066667
fifo,20,30,20,40451.933333
fifo,20,30,21,35821.800000
fifo,20,30,22,30712.800000
fifo,20,30,23,44954.400000
fifo,20,30,24,30517.666667
fifo,20,30,25,30336.733333
fifo,20,30,26,27794.900000
fifo,20,30,27,44314.500000
fifo,20,30,28,40111.300000
fifo,20,30,29,45030.666667
fifo,20,30,30,36857.666667
fifo,20,40,1,37029.825000
fifo,20,40,2,52811.825000
fifo,20,40,3,58227.550000
fifo,20,40,4,53745.350000
fifo,20,40,5,49012.975000
fifo,20,40,6,65189.725000
fifo,20,40,7,55381.750000
fifo,20,40,8,45403.325000
fifo,20,40,9,52092.325000
fifo,20,40,10,49627.050000
fifo,20,40,11,62327.125000
fifo,20,40,12,46360.525000
fifo,20,40,13,35389.125000
